タレント名,知名度％,知名度,人気度％,人気度,ドラマ関心度（シリアス）％,ドラマ関心度（シリアス）,ドラマ関心度（コメディ）％,ドラマ関心度（コメディ）,バラエティ関心度％,バラエティ関心度,映画関心度（シリアス）％,映画関心度（シリアス）,映画関心度（コメディ）％,映画関心度（コメディ）,雑誌関心度％,雑誌関心度,CM総合,有効回答者数,有効回答者数（20代）,有効回答者数（30代）,有効回答者数（40代）,有効回答者数（50代）
阿部寛(あべひろし)(俳優),84.14634,2.365853659,69.565216,2.942028986,53.623188,2.391304348,50.724636,2.246376812,42.028984,2.130434783,28.985506,2.028985507,24.637682,1.913043478,18.84058,1.68115942,19.275364,82,17,22,22,21
綾瀬はるか(あやせはるか)(俳優),88.88889,2.422222222,61.25,2.9,41.25,2.2,38.75,2.2125,40,2.1375,17.5,1.575,17.5,1.6,23.75,1.7125,24.875,90,21,21,23,25
大谷翔平(おおたにしょうへい)(メジャーリーガー),91.26214,2.533980583,58.510635,2.808510638,26.595745,1.765957447,22.340425,1.64893617,44.68085,2.234042553,22.340425,1.595744681,14.893617,1.404255319,26.595745,1.712765957,26.170212,103,25,24,26,28
新垣結衣(あらがきゆい)(俳優),67.59259,2.046296296,64.38356,3,43.835617,2.342465753,45.20548,2.315068493,46.575344,2.260273973,23.287672,1.684931507,17.80822,1.671232877,21.917809,1.739726027,24.520548,108,28,25,26,29
北川景子(きたがわけいこ)(俳優),72.27723,2.03960396,65.753426,2.97260274,42.46575,2.342465753,41.09589,2.315068493,38.356163,2.178082192,13.69863,1.643835616,20.547945,1.684931507,23.287672,1.767123288,23.424656,101,20,30,25,26
長澤まさみ(ながさわまさみ)(俳優),67.676765,2.111111111,64.17911,2.850746269,41.791046,2.208955224,41.791046,2.119402985,37.31343,2.089552239,25.373135,1.76119403,19.402985,1.641791045,19.402985,1.71641791,25.373135,99,25,24,22,28
吉高由里子(よしたかゆりこ)(俳優),66.33663,1.98019802,61.19403,2.805970149,44.77612,2.373134328,44.77612,2.268656716,47.761192,2.253731343,25.373135,1.791044776,26.865673,1.746268657,22.38806,1.701492537,20.895523,101,24,23,23,31
杏(あん)(俳優),64.13044,1.858695652,71.18644,3,45.76271,2.389830508,44.0678,2.338983051,44.0678,2.220338983,18.644068,1.694915254,13.559322,1.644067797,13.559322,1.694915254,19.322035,92,20,19,23,29
天海祐希(あまみゆうき)(俳優),65.97938,2,64.0625,2.96875,43.75,2.359375,42.1875,2.296875,40.625,2.09375,15.625,1.53125,9.375,1.40625,18.75,1.546875,18.4375,97,21,24,24,27
サンドウィッチマン(芸人コンビ),76.190475,2.130952381,68.75,2.96875,28.125,1.796875,23.4375,1.78125,56.25,2.484375,10.9375,1.375,14.0625,1.421875,6.25,1.265625,17.1875,84,13,22,26,23
橋本環奈(はしもとかんな)(俳優),74.757286,2.126213592,62.33766,2.831168831,35.064934,2.025974026,37.662334,2.090909091,36.363636,2.090909091,16.883118,1.597402597,20.77922,1.688311688,20.77922,1.467532468,24.155842,103,23,25,24,30
マツコ・デラックス(タレント),92.78351,2.505154639,55.555557,2.7,18.88889,1.555555556,22.222223,1.666666667,44.444447,2.222222222,10,1.288888889,8.888889,1.288888889,12.222222,1.277777778,14.444446,97,21,24,28,24
石田ゆり子(いしだゆりこ)(俳優),62.7907,1.825581395,66.66667,2.907407407,51.851852,2.425925926,42.592594,2.222222222,46.296295,2.240740741,29.62963,1.851851852,12.962963,1.611111111,24.074074,1.833333333,25.925924,86,18,20,25,23
ダウンタウン(芸人コンビ),95.09804,2.617647059,47.42268,2.453608247,21.649485,1.701030928,26.804123,1.773195876,43.29897,2.175257732,14.432989,1.432989691,11.340206,1.381443299,11.340206,1.329896907,14.123711,102,22,24,28,28
石原さとみ(いしはらさとみ)(俳優),79.545456,2.25,52.857143,2.642857143,38.57143,2.157142857,31.428572,2.014285714,30.000002,1.871428571,20,1.557142857,14.285715,1.442857143,21.428572,1.657142857,22.428574,88,20,21,26,21
タモリ(芸人),92.55319,2.521276596,49.425285,2.643678161,20.689655,1.67816092,20.689655,1.689655172,36.78161,2.103448276,14.942529,1.413793103,10.344828,1.275862069,8.045978,1.195402299,13.333334,94,18,26,26,24
唐沢寿明(からさわとしあき)(俳優),57.281555,1.873786408,54.23729,2.813559322,50.847458,2.491525424,44.0678,2.322033898,37.288136,2.169491525,32.203392,2,22.0339,1.796610169,8.474577,1.525423729,15.084747,103,22,25,24,31
小栗旬(おぐりしゅん)(俳優),73.87387,2.198198198,51.219513,2.634146341,35.365852,2.170731707,31.707317,2.036585366,26.82927,1.951219512,21.95122,1.682926829,19.512194,1.634146341,15.853659,1.512195122,16.219513,111,29,28,25,29
永野芽郁(ながのめい)(俳優),54.83871,1.666666667,70.588234,2.921568627,43.137257,2.37254902,41.17647,2.37254902,35.294117,2.215686275,25.490198,1.941176471,23.529411,1.960784314,21.568628,1.960784314,28.431376,93,19,22,20,30
宇多田ヒカル(うただひかる)(歌手),79.62963,2.203703704,61.627907,2.872093023,20.930233,1.651162791,20.930233,1.662790698,33.720932,1.930232558,12.790698,1.38372093,10.4651165,1.337209302,13.953489,1.546511628,15,108,28,25,28,26
